Raza,Foto,Acerca de,Tamaño,No Alergia,País,Categoría de tamaño,Esperanza de vida promedio,Rasgo 1,Rasgo 2,Rasgo 3,Rasgo 4,Rasgo 5,Rasgo 6,Casa,Experiencia,Sociable,Entrenamiento,Actividades,Cuidados,Ejercicio,Guardia
"Braco Francés, Tipo Pirineos",https://cdn.royalcanin-weshare-online.io/Wfq2H2YBIYfdNSoCtggQ/v2/bd155bl-braque-francais-pyrenees-type-adult-standing?w=320&fm=jpg&auto=compress,"El Braco Francés proviene del sur de los Pirineos. Es una raza muy adaptable por lo que suele convivir con cazadores de otras regiones de Francia y del extranjero. El Braco Francés tipo Pirineos tiene las mismas características generales que el tipo Gascuña, solo que es más pequeño y liviano. Estos perros son robustos, bien musculados, pero no son pesados. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Francia,Mediano,12–15 años,Cariñoso,Inteligente,Tranquilo,Equilibrado,,,,,,Necesita poco entrenamiento,,Necesita cuidados moderados,,Un gran perro guardián
Braco Húngaro De Pelo Corto,https://cdn.royalcanin-weshare-online.io/NiIzx2oBaxEApS7LmxzA/v1/bd113bl-hub-hungarian-short-haired-pointer-vizsla-adult-standing?w=320&fm=jpg&auto=compress,"Sus cualidades típicas son un hocico sobresaliente, habilidades notables para recuperar presas y una capacidad innata para seguir un rastro, incluso nadando. Por su naturaleza tranquila, están bien adaptados para vivir en interior. El braco húngaro de pelo corto, o vizsla, es un perro bastante delgado y liviano que representa la fuerza y la belleza en perfecta armonía. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Hungría,Mediano,12–15 años,Alegre,Afable,Equilibrado,Sensible,Seguro,,,,Un gran perro para una familia,Disfruta del entrenamiento,,Necesita cuidados moderados,,
Briquet Griffon Vendeano,https://cdn.royalcanin-weshare-online.io/T_o-x2oBIYfdNSoCjxnl/v5/bd158bl-hub-briquet-griffon-vendeen-adult-standing?w=320&fm=jpg&auto=compress,"El Briquet Griffon Vendeano es un perro robusto con una gran iniciativa y resistencia, y con capacidad para detectar rastros y conducir al cazador hasta la presa. Es un cazador entusiasta que necesita mano firme. De tamaño mediano, robusto y bien proporcionado, este Grifón es receptivo y muy obstinado. Es la única raza que ha mantenido en el nombre el término ""Briquet"", que significa 'perro de tamaño mediano'. Antes de la Primera Guerra Mundial, el Conde de Elva inició un programa de reproducción controlada para crear una versión más pequeña y mejorada del Gran Grifón Vendeano. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Francia,Mediano,10–12 años,Alerta,Alegre,Afable,Fuerte,Independiente,Inteligente,Requiere espacio exterior,,,Disfruta del entrenamiento,,Requiere cuidados mínimos,,
Buhund Noruego,https://cdn.royalcanin-weshare-online.io/q2nasmoBG95Xk-RB4_bC/v3/bd252bl-hub-norwegian-buhund-adult-standing?w=320&fm=jpg&auto=compress,"Valientes, enérgicos y afables, los buhunds noruegos son raros fuera de su país natal, donde tienen una excelente reputación como compañeros con los que es fácil convivir y que son sencillos de adiestrar. Este característico perro tipo spitz es una raza ""de forma cuadrada"" un poco más pequeña que la media. Sus orejas, rectas y puntiagudas, enfatizan su expresión franca y en estado de alerta. La cola la lleva firmemente enroscada sobre la espalda. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Noruega,Mediano,12–15 años,Alerta,Afable,Seguro,Inteligente,Leal,Tranquilo,,,Un gran perro para una familia,,,Requiere cuidados mínimos,Necesita mucho ejercicio,
Bulldog Francés,https://cdn.royalcanin-weshare-online.io/FCIPHWsBaxEApS7LNB0Z/v1/bd12bl-hub-french-bulldog-adult-standing?w=320&fm=jpg&auto=compress,"Los bulldogs franceses son una raza típica de molosos de pequeño tamaño musculosos, compactos y sólida estructura ósea. Son perros robustos pero cariñosos, con unas orejas grandes que les dan una expresión de curiosidad y estado de alerta. Son extrovertidos, alegres, juguetones, atléticos y, sobre todo, cariñosos con personas de todas las edades. El primer club de esta raza se fundó en París en 1880 y el primer registro de un bulldog francés se realizó cinco años después. La raza se reconoció oficialmente por primera vez en Francia en 1898. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Francia,Mediano,10–13 años,Sociable,Alegre,Juguetón,Entusiasta,,,Requiere espacio exterior,,Bueno con las personas,,,Necesita cuidados moderados,,
Bulldog Inglés,https://cdn.royalcanin-weshare-online.io/ECIKHWsBaxEApS7LbR2l/v1/bd10bl-hub-bulldog-adult-standing?w=320&fm=jpg&auto=compress,"Dan sensación de determinación, fuerza y actividad, y gozan de una personalidad alegre, audaz, leal y valiente. A pesar de su aspecto algo rudo, el Bulldog inglés es muy cariñoso con los que le rodean. Además de algunas características particulares, los Bulldogs ingleses realmente se distinguen por su modo de andar especialmente pesado y limitado. Parece que dan pasos cortos y rápidos sobre la punta de los pies, dando la impresión de que sus pies traseros no se levantan del suelo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Reino Unido,Mediano,8–12 años,Cariñoso,Obstinado,Alegre,Alerta,Seguro,Leal,,,,La educación deberá comenzar pronto,,Necesita cuidados moderados,Necesita mucho ejercicio,
Caniche,https://cdn.royalcanin-weshare-online.io/IiIsx2oBaxEApS7Lrhy3/v1/bd94bl-hub-poodle-adult-standing?w=320&fm=jpg&auto=compress,"Su fama de perro leal, elegante y con capacidad de aprendizaje ayuda a explicar por qué son tan apreciados como perros de compañía en todo el mundo. Los Caniches son compañeros inteligentes, siempre alerta y activos, que muestran muy dignos en cualquier situación.  Caniche en inglés se dice ""Poodle"", que proviene de la palabra alemana ""Pudel"". En alemán, ""puddeln"" es un verbo que significa ""salpicar"". En francés, la raza se llama Caniche, cuya raíz es la palabra ""cane"", que significa ""pata"" (la hembra del pato). Así que, en todos los casos, los Caniches están vinculados con el agua. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True, Francia,Mediano,12–15 años,Afable,Leal,Alerta,Alegre,Equilibrado,,Requiere espacio exterior,,Un gran perro para una familia,,,Necesita cuidados moderados,,
Cazador De Alces Noruego,https://cdn.royalcanin-weshare-online.io/M_oqx2oBIYfdNSoC2RmT/v1/bd89bl-hub-norwegian-elkhound-adult-standing?w=320&fm=jpg&auto=compress,"Al Cazador de Alces Noruego le sobran el coraje y la frialdad necesarios para perseguir a estos poderosos animales. Atrevido, protector y con un excelente sentido de la diversión, el Cazador de Alces Noruego es un perro fiel a su familia. Esta raza es una de las más antiguas de Europa. Se cree que navegó con los vikingos, e incluso aparece en el arte nórdico. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Noruega,Mediano,12–15 años,Seguro,Alegre,,,,,Jardín no esencial,,,Necesita un entrenamiento moderado,,Requiere cuidados mínimos,,
Chow Chow,https://cdn.royalcanin-weshare-online.io/GCJ_HWsBaxEApS7LYh2z/v1/bd52bl-hub-chow-chow-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros son animales tranquilos, adecuados como guardianes, y tienen una serie de características únicas, una de las cuales es su apariencia de león y su marcha segura. Esta raza muestra dos tipos de pelaje: un pelaje más largo y áspero y otro más corto y suave.  Los Chow Chow son perros independientes, pero muy leales con sus propietarios. Estos perros pueden desconfiar de los extraños y parecer muy tímidos con las personas que no conocen. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, China,Mediano,9–15 años,Alegre,Tranquilo,Protector,Independiente,Leal,Tímido,,,,Requiere mucho entrenamiento,,Requiere cuidados mínimos,Necesita poco ejercicio,
Cirneco Del Etna,https://cdn.royalcanin-weshare-online.io/1yIqxWoBaxEApS7Lxhva/v1/bd169bl-hub-cirneco-delletna-adult-stainding?w=320&fm=jpg&auto=compress,Estos perros de mediano tamaño y de líneas esbeltas y elegantes son robustos y resistentes. Su cuerpo cuadrado y de complexión ligera está cubierto de un pelo fino.  Se trata de una raza poco común que se encuentra principalmente en su región natal. La FCI reconoció el estándar en 1989. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI),M (11-25 kg),False, Italia,Mediano,12–15 años,Obstinado,Cariñoso,Dócil,Leal,,,Jardín no esencial,,,,,Requiere muchos cuidados,,
Cocker Inglés,https://cdn.royalcanin-weshare-online.io/2PrGHWsBIYfdNSoCEBqY/v1/bd58bl-hub-english-cocker-spaniel-adult-standing?w=320&fm=jpg&auto=compress,"El Cocker Inglés es cariñoso y dócil con las personas que conoce. Estos perros alegres, vigorosos y equilibrados son los spaniel más conocidos y extendidos. Son perros bajos y compactos que destacan por su carácter alegre. Son perros que se adaptan muy bien al hogar familiar y se convierten en excelentes compañeros para propietarios activos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Reino Unido,Mediano,12–14 años,Alegre,Afable,Seguro,Dócil,Cariñoso,,Requiere espacio exterior,,,,,Requiere muchos cuidados,,Un gran perro guardián
Cocker Spaniel Americano,https://cdn.royalcanin-weshare-online.io/s_o5HWsBIYfdNSoC4BoK/v1/bd24bl-hub-american-cocker-spaniel-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros extrovertidos son apreciados por muchos y su tamaño permite llevarlos a casi cualquier parte. Aunque es el menor de los perros deportivos, los cocker spaniels americanos son muy proporcionados, con una cabeza finamente cincelada sobre un cuerpo fuerte y compacto. Los cocker spaniels americanos son perros amigables, afables y tranquilos que establecen fuertes vínculos con su familia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Estados Unidos,Mediano,12–15 años,Alegre,Cariñoso,Alerta,Entusiasta,Afable,Dócil,,Necesita un propietario con algo de experiencia,,Requiere mucho entrenamiento,,,,Un gran perro guardián
Collie De Pelo Corto,https://cdn.royalcanin-weshare-online.io/smnksmoBG95Xk-RBOfbe/v1/bd304bl-hub-collie-smooth-adult-standing?w=320&fm=jpg&auto=compress,"Los Collie de Pelo Corto se criaron enfocándose en la fuerza y la actividad. Los Collie de Pelo Corto son alegres y afables, pero nunca tímidos ni agresivos. Sus ojos son una característica muy importante, ya que le confieren al perro una expresión dócil. Estos son de tamaño mediano, tienen forma de almendra y están ubicados ligeramente hacia el ángulo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Reino Unido,Mediano,12–16 años,Cariñoso,Alerta,Afable,Dócil,Inteligente,Leal,,,,Disfruta del entrenamiento,,Requiere cuidados mínimos,Necesita mucho ejercicio,
Collie De Pelo Largo,https://cdn.royalcanin-weshare-online.io/wmnrsmoBG95Xk-RB9Pbt/v1/bd285bl-hub-collie-rough-adult-standing?w=320&fm=jpg&auto=compress,"Famosos en todo el mundo por la franquicia de lassie, estos perros extremadamente inteligentes y leales suelen encontrarse en las Tierras Altas de Escocia, donde se utilizan principalmente como perros de pastoreo. Los collies de pelo largo son de naturaleza sociable y fáciles de educar, lo que los convierte en excelentes mascotas familiares, aunque son más adecuados para propietarios activos, dadas sus altas necesidades de ejercicio. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Reino Unido,Mediano,14–16 años,Alegre,Afable,Sociable,Seguro,,,,,Un gran perro para una familia,Disfruta del entrenamiento,,Requiere muchos cuidados,,
Dachsbracke De Los Alpes,https://cdn.royalcanin-weshare-online.io/_yLQxWoBaxEApS7LcRt3/v1/bd123bl-hub-alpine-dachsbracke-adult-standing?w=320&fm=jpg&auto=compress,"Los Dachsbracke de los Alpes son perros robustos y resistentes que se utilizan para rastrear animales de caza ungulados heridos o como sabueso para buscar liebres y zorros en las montañas.  Estos perros tranquilos y seguros, que raramente se enfadan, tienen un carácter afable y están siempre en alerta. Estos perros de caza son fuertes, tienen patas cortas y una estructura robusta, con huesos bien desarrollados y musculatura firme. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Austria,Mediano,12–14 años,Seguro,Afable,Inteligente,,,,Jardín no esencial,,,Necesita un entrenamiento moderado,,Requiere muchos cuidados,,
Dóberman,https://www.purina.es/sites/default/files/styles/ttt_image_original/public/2021-02/BREED%20Hero%20Desktop_0123_doberman.webp?itok=3LPiccUl,"Los dóbermans son perros fuertes de tamaño mediano. Orgulloso y equilibrado, el dóberman tiene una expresión obstinada.  Es un perro afable y tranquilo, entregado a su familia, a menudo valiente, muy seguro y equilibrado, que presta mucha atención a todo lo que sucede a su alrededor.  Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Alemania,Mediano,10–12 años,Afable,Tranquilo,Leal,Alerta,Trabajador,Fuerte,,,,Disfruta del entrenamiento,,Requiere cuidados mínimos,,Un gran perro guardián
Drever,https://cdn.royalcanin-weshare-online.io/wSJ8wWoBaxEApS7Lmhse/v1/bd182bl-hub-drever-adult-standing?w=320&fm=jpg&auto=compress,"Los Sabuesos de Westfalia se importaron a Suecia y Dinamarca hacia 1910, y allí se cruzaron con perros de caza locales, algunos de ellos parecidos a los Teckels. Aparecieron así en Suecia los antepasados del Drever, que alcanzaron una gran reputación como perros de caza. El Drever es el perro preferido para la caza de ciervos, pero también es muy fiable para la caza de liebres y zorros. Tiene todo lo que debe tener un perro de rastreo. En definitiva, tiene un carácter equilibrado, sin ningún indicio de agresividad, ni de timidez o de nerviosismo Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Suecia,Mediano,12–14 años,Equilibrado,Alerta,Seguro,Inteligente,Fuerte,Tranquilo,,,Un gran perro para una familia,Necesita poco entrenamiento,,Necesita cuidados moderados,,
